dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3502340225737492,0.755,0.3598992748132589,0.1214992927864214,0.1336805555555555,0.0096652522395096,"{'l2': 0.01, 'dropout': 0.18373633658216446}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.7689236111111112,0.775,0.3529727878091442,0.0282970318591136,0.0060763888888888,0.0313486219229959,"{'l2': 0.001, 'dropout': 0.14555296635959947}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6406177606177605,0.71,0.2997140200290999,0.0693822393822393,0.0826091993975206,0.0171428571428571,"{'l2': 0.001, 'dropout': 0.16079318010003035}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7645959595959596,0.805,0.4826216813949018,0.0404722904722905,0.056985294117647,0.0404040404040404,"{'l2': 0.01, 'dropout': 0.19081142939488405}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.395180992938335,0.8505251520176893,0.5836500971666192,0.0854284646979971,0.1884691042282842,0.0859935056825278,"{'l2': 0.0001, 'dropout': 0.03308345953209482}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.4435384543149228,0.8436705362078496,0.559943819435233,0.1164053651203101,0.1835862587649588,0.150207753614971,"{'l2': 0.0001, 'dropout': 0.004163277032130451}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4583610153355582,0.8515201768933113,0.5779156019428767,0.0996243792317537,0.1830961091463904,0.1195545866073185,"{'l2': 0.0001, 'dropout': 0.11704463662367597}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6612332661779513,0.8476506357103372,0.5799301280823864,0.0686990245597386,0.1864173695323858,0.0492329218005535,"{'l2': 0.001, 'dropout': 0.05038816367169359}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.7753517347025131,0.8514096185737977,0.5808866758403928,0.0760578838712846,0.1755130382821448,0.0895113049511174,"{'l2': 0.0001, 'dropout': 0.16488486867420632}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7505186607090879,0.8435599778883361,0.5686339050953009,0.0920676941829272,0.1935203894287813,0.0930413171792482,"{'l2': 0.001, 'dropout': 0.026415068214344695}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2876122898088846,0.9009511315185308,0.5246249011706803,0.1426143833041612,0.2370126113617956,0.171469465648855,"{'l2': 0.0001, 'dropout': 0.04485501413341823}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.3771329239285717,0.8998032141685799,0.5198565455505488,0.1427236216219771,0.2431994424564084,0.1529973801818462,"{'l2': 0.0001, 'dropout': 0.08041026128332998}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3096484816238178,0.8991472613971794,0.5172333666183414,0.1589162688361247,0.2378306418938472,0.2075848849945235,"{'l2': 0.0001, 'dropout': 0.09522180105815359}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6467226140947238,0.8994752377828796,0.5317966417615558,0.1376211602390229,0.2527526236881559,0.1155610535539405,"{'l2': 0.001, 'dropout': 0.006458853866310961}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.8597154131845536,0.9001311905542801,0.4975751395002516,0.0404157773697265,0.1563745926019681,0.002966722213806,"{'l2': 0.0001, 'dropout': 0.11008062335703571}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7056023027639166,0.8952115447687766,0.5168757199850281,0.162602894157846,0.2649528126629555,0.18960924200486,"{'l2': 0.001, 'dropout': 0.04794004988409435}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.027871774298028,0.6580226904376013,0.3000902734566157,0.2470926097946069,0.2722184991585876,0.1739671209171533,"{'l2': 0.01, 'dropout': 0.069167661314828}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.1440170662937913,0.6588330632090762,0.3138403689427286,0.1698233026489373,0.2085491639403853,0.1836674988297706,"{'l2': 0.0001, 'dropout': 0.09863424220458179}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.2119615038147753,0.6685575364667747,0.331083056818447,0.2141565159953292,0.2366234629444998,0.1191215530036716,"{'l2': 0.001, 'dropout': 0.1060429871901796}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.4013069566166319,0.6353322528363047,0.2650953484595332,0.2132194092097436,0.2340252962196727,0.1712835820895522,"{'l2': 0.001, 'dropout': 0.13947987469184284}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.4903590243124034,0.6442463533225283,0.2779035727993841,0.1538873290101248,0.1666312804479022,0.1251976094081356,"{'l2': 0.0001, 'dropout': 0.1334218700431224}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.4131941235158917,0.6288492706645057,0.2443939368601946,0.2446150568670187,0.2587119593600152,0.215655147148614,"{'l2': 0.001, 'dropout': 0.15076643022302755}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2784756578446602,0.77,0.3603115004867194,0.0521443102088263,0.0818358426420592,0.0881595881595881,"{'l2': 0.0001, 'dropout': 0.04075512727612208}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.2736545825169085,0.75,0.3589566160097314,0.0853020334928229,0.0936227951153324,0.065340909090909,"{'l2': 0.01, 'dropout': 0.11134790342291524}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3130701636204137,0.765,0.401632691435278,0.0710669781931464,0.0913064594463332,0.0885625278148642,"{'l2': 0.001, 'dropout': 0.015489827433523475}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6808730158730159,0.79,0.4458145083285497,0.0553189165574486,0.1091269841269841,0.0749235474006115,"{'l2': 0.01, 'dropout': 0.19116210020502233}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6925159726812073,0.72,0.3858067882353125,0.0274840273187926,0.0404761904761904,0.005948446794448,"{'l2': 0.001, 'dropout': 0.08032209664859871}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.6607751937984496,0.76,0.3762993762993762,0.0996124031007751,0.1302282470165682,0.0992248062015503,"{'l2': 0.0001, 'dropout': 0.1696444311347176}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.380235329552962,0.8463239358761747,0.5721898390754634,0.111884860946311,0.1919545095225013,0.1392936215076436,"{'l2': 0.001, 'dropout': 0.16836449066592193}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.4770394705073296,0.845992260917634,0.5667073386642109,0.0896678681568812,0.1891986515913944,0.0942486576419874,"{'l2': 0.01, 'dropout': 0.18249444318282132}"
adult_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4873780315175009,0.8470978441127694,0.5722558003984077,0.0806340943110031,0.1851093094772155,0.0848777688809068,"{'l2': 0.01, 'dropout': 0.10750869215214677}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.6574132014295573,0.8470978441127694,0.5750988032231218,0.0865870695009992,0.1896846426832122,0.0926661187036496,"{'l2': 0.0001, 'dropout': 0.10434126148228723}"
